date,copper_price
1/31/1960,715.4
2/29/1960,728.19
3/31/1960,684.94
4/30/1960,723.11
5/31/1960,684.75
6/30/1960,691.59
7/31/1960,702.39
8/31/1960,675.94
9/30/1960,647.06
10/31/1960,612.66
11/30/1960,642.13
12/31/1960,636.91
1/31/1961,606.71
2/28/1961,616.63
3/31/1961,621.26
4/30/1961,631.84
5/31/1961,668.44
6/30/1961,652.12
7/31/1961,633.39
8/31/1961,636.47
9/30/1961,632.72
10/31/1961,630.3
11/30/1961,632.28
12/31/1961,634.85
1/31/1962,635.37
2/28/1962,647.94
3/31/1962,647.5
4/30/1962,645.95
5/31/1962,645.73
6/30/1962,645.51
7/31/1962,645.51
8/31/1962,645.51
9/30/1962,645.51
10/31/1962,645.95
11/30/1962,645.51
12/31/1962,645.73
1/31/1963,645.51
2/28/1963,645.51
3/31/1963,645.51
4/30/1963,645.73
5/31/1963,645.51
6/30/1963,645.73
7/31/1963,645.51
8/31/1963,645.51
9/30/1963,645.51
10/31/1963,645.51
11/30/1963,645.73
12/31/1963,650.14
1/31/1964,655.65
2/29/1964,693.79
3/31/1964,745.16
4/30/1964,861.56
5/31/1964,828.28
6/30/1964,808.43
7/31/1964,854.95
8/31/1964,999.33
9/30/1964,1162.05
10/31/1964,1358.27
11/30/1964,1400.37
12/31/1964,1269.2
1/31/1965,1000.68
2/28/1965,1179.91
3/31/1965,1237.23
4/30/1965,1348.34
5/31/1965,1378.55
6/30/1965,1308.88
7/31/1965,1134.06
8/31/1965,1209.9
9/30/1965,1327.84
10/31/1965,1401.92
11/30/1965,1469.16
12/31/1965,1517.66
1/31/1966,1679.04
2/28/1966,1874.37
3/31/1966,1874.81
4/30/1966,1907.44
5/31/1966,1663.61
6/30/1966,1695.79
7/31/1966,1567.93
8/31/1966,1195.34
9/30/1966,1128.32
10/31/1966,1275.37
11/30/1966,1301.61
12/31/1966,1214.53
1/31/1967,1243.85
2/28/1967,1220.48
3/31/1967,1098.34
4/30/1967,994.72
5/31/1967,1036.17
6/30/1967,1015.22
7/31/1967,997.37
8/31/1967,1044.55
9/30/1967,1060.2
10/31/1967,1138.47
11/30/1967,1443.81
12/31/1967,1324.09
1/31/1968,1408.75
2/29/1968,1719.82
3/31/1968,1701.08
4/30/1968,1255.09
5/31/1968,1096.58
6/30/1968,1136.7
7/31/1968,1054.25
8/31/1968,1056.45
9/30/1968,1110.03
10/31/1968,1079.82
11/30/1968,1099.88
12/31/1968,1184.98
1/31/1969,1255.53
2/28/1969,1285.29
3/31/1969,1278.46
4/30/1969,1388.03
5/31/1969,1392.44
6/30/1969,1483.04
7/31/1969,1453.95
8/31/1969,1606.73
9/30/1969,1578.95
10/31/1969,1554.48
11/30/1969,1631.42
12/31/1969,1699.76
1/31/1970,1626.3
2/28/1970,1657.2
3/31/1970,1754
4/30/1970,1741.6
5/31/1970,1597.9
6/30/1970,1458
7/31/1970,1366.6
8/31/1970,1266.5
9/30/1970,1246.9
10/31/1970,1142.4
11/30/1970,1085.3
12/31/1970,1045.7
1/31/1971,1010
2/28/1971,1020.2
3/31/1971,1144.1
4/30/1971,1251.5
5/31/1971,1114.4
6/30/1971,1074.2
7/31/1971,1115.3
8/31/1971,1097.9
9/30/1971,1056.4
10/31/1971,1041.2
11/30/1971,1013.9
12/31/1971,1037.9
1/31/1972,1078
2/29/1972,1112.4
3/31/1972,1108.2
4/30/1972,1133
5/31/1972,1106.4
6/30/1972,1063.2
7/31/1972,1034.6
8/31/1972,1046.7
9/30/1972,1060.6
10/31/1972,917.5
11/30/1972,1007.1
